epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,247.336,0.94578,0.52069,1.08067,0.86916,0.75688,0.84847,0.51164,1.1861,0.64942,1.13177,0.0006932,0.0006932,0.0006932
68,251.102,0.92737,0.51043,1.05614,0.82498,0.7898,0.8457,0.50757,1.19378,0.65022,1.13916,0.0006734,0.0006734,0.0006734
69,254.748,0.92354,0.51643,1.05769,0.86026,0.76745,0.8423,0.5012,1.20722,0.6323,1.13969,0.0006536,0.0006536,0.0006536
70,258.408,0.93679,0.50126,1.06307,0.85656,0.76139,0.84172,0.5037,1.21359,0.65954,1.13327,0.0006338,0.0006338,0.0006338
71,262.028,0.90276,0.50374,1.04853,0.84496,0.79632,0.85252,0.50755,1.1993,0.6081,1.12725,0.000614,0.000614,0.000614
72,265.66,0.9136,0.48995,1.05051,0.84712,0.76507,0.83655,0.48628,1.2033,0.63634,1.12891,0.0005942,0.0005942,0.0005942
73,269.304,0.90167,0.49537,1.04958,0.85349,0.78016,0.85251,0.49843,1.20213,0.61956,1.14275,0.0005744,0.0005744,0.0005744
74,272.937,0.87864,0.47836,1.03566,0.8705,0.77078,0.85112,0.50186,1.21601,0.6294,1.12652,0.0005546,0.0005546,0.0005546
75,276.584,0.85884,0.46952,1.02598,0.88075,0.75871,0.85228,0.50984,1.20481,0.64238,1.12246,0.0005348,0.0005348,0.0005348
76,280.233,0.87959,0.47646,1.03485,0.85175,0.79326,0.85498,0.51053,1.2049,0.6136,1.12367,0.000515,0.000515,0.000515
77,284.003,0.8677,0.46232,1.03649,0.86306,0.77078,0.85624,0.51092,1.20049,0.63491,1.12687,0.0004952,0.0004952,0.0004952
78,287.631,0.86009,0.46082,1.035,0.84912,0.77702,0.85714,0.51464,1.20058,0.61037,1.13875,0.0004754,0.0004754,0.0004754
79,291.277,0.8593,0.46369,1.02808,0.88812,0.75554,0.85864,0.51255,1.19262,0.6067,1.13442,0.0004556,0.0004556,0.0004556
80,294.913,0.88711,0.48295,1.03674,0.85312,0.78637,0.8475,0.50889,1.19735,0.59279,1.13101,0.0004358,0.0004358,0.0004358
